Species        ,csome_low,csome_high,N  ,Isolate  ,Location      ,Country     ,Reproduction,Reference                                                                                                                                                                                                                                                                                                                  
M. hapla A     ,28       ,34        ,1  ,Worc3    ,Worcester     ,South Africa,automixis   ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. hapla A     ,30       ,36        ,1  ,Wyn2     ,Philippi      ,South Africa,automixis   ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. hapla B     ,30       ,32        ,6  ,         ,              ,            ,apomixis    ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. hapla B     ,43       ,48        ,11 ,         ,              ,            ,apomixis    ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. hapla B     ,34       ,37        ,1  ,Dbn4     ,Hillcrest     ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. hapla B     ,30       ,32        ,1  ,Hart4    ,Jan Kempdorp  ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. hapla B     ,31       ,34        ,1  ,Pitn1    ,Hillcrest     ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. hapla B     ,31       ,34        ,1  ,Wbm8     ,Wonderboom    ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. hapla A     ,30       ,          ,1  ,42-Can   ,              ,Canada      ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,30       ,          ,1  ,81-Belg  ,              ,Belgium     ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,30       ,          ,1  ,72-Chile ,              ,Chile       ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,32       ,          ,1  ,6-NC     ,N.C.          ,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,32       ,          ,1  ,14-NC    ,N.C.          ,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,32       ,          ,1  ,16NC     ,N.C.          ,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,32       ,          ,1  ,48-NC-1  ,N.C.          ,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,32       ,          ,1  ,102-Belg ,              ,Belgium     ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,32       ,          ,1  ,107-NC   ,N.C.          ,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,32       ,          ,1  ,109-NC-1 ,N.C.          ,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,32       ,          ,1  ,133-Holl ,              ,Holland     ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,34       ,          ,1  ,45-Cal   ,Cal.          ,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,34       ,          ,1  ,48-NC-2  ,N.C.          ,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,34       ,          ,1  ,61-Engl  ,              ,England     ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,34       ,          ,1  ,67-NC    ,N.C.          ,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,34       ,          ,1  ,69-Ohio  ,Ohio          ,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,34       ,          ,1  ,86-Va    ,Va.           ,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,34       ,          ,1  ,106-NC   ,N.C.          ,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,34       ,          ,1  ,109-NC-2 ,N.C.          ,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,34       ,          ,1  ,118-Va   ,Va.           ,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,34       ,          ,1  ,169-Tenn ,Tenn.         ,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
